# מילים שכבר באפליקציה — 520 מילים (עודכן 2026-07-12)
# אל תביא מילים מהרשימה הזו. חפש (Ctrl+F) את המילה התאית לפני שתוסיף.


## רמה 1
กล้วย	בננה
บางที	לפעמים
บางวัน	חלק מהימים
บ้าน	בית
ประเทศ	מדינה
ประมาณ	בערך
ปลาหมึก	דיונון
ปัญหา	בעיה
ป่า	יער
ปากกา	עט
ไปเที่ยว	לטייל / להסתובב בכיף
ไปแล้ว	כבר הלכתי / הלכתי
ผู้ชาย	גבר / זכר
ผู้หญิง	אישה / נקבה
ฝึก	להתאמן, לתרגל
พวกเขา	הם
พ่อแม่	הורים
พักผ่อน	לנוח
เพราะ	כי / בגלל
เพื่อ	כדי / בשביל
ภาษา	שפה
ภูเขา	הר
ภูมิใจ	גאה
มะพร้าว	קוקוס
มะม่วง	מנגו
มั่นใจ	בטוח בעצמי
ม้า	סוס
มาครับ	באתי / אני בא (זכר מנומס)
โมโห	עצבני
ไม่	לא
ไม่ได้…	לא עשיתי
ไม่รู้	לא יודע
ไม่ใส่	בלי / לא לשים
ไม่เอา	לא רוצה
ยินดี	ברוך הבא
ยี่สิบ	עשרים
รถไฟ	רכבת
รถเมล์	אוטובוס
ร้องไห้	לבכות
รักษา	לרפא, לטפל
รำคาญ	מעצבן
รู้	לדעת
รู้จัก	להכיר (אנשים/מקומות)
รู้สึก	להרגיש
เรือบิน	מטוס
โรงพัก	תחנת משטרה
โรงเรียน	בית ספר
ลาก่อน	להתראות
ลืม	לשכוח
วันเกิด	יום הולדת
เวลา	זמן
สงสัย	לתהות, לחשוד
สนใจ	להתעניין
สมอง	מוח
สมัคร	להירשם, להגיש מועמדות
สิบเอ็ด	אחת עשרה
เสียใจ	עצוב
เสียดาย	חבל / בזבוז
หน้าต่าง	חלון
หน้าฝน	עונת הגשמים
หน้าร้อน	העונה החמה
หน้าหนาว	העונה הקרה
หมู่	קבוצה / כפר / חבורה
หวัง	לקוות
หวี	אשכול/יחידת בננות; מסרק
ห้องครัว	מטבח
ห้า	חמש
หิวน้ำ	צמא
เหงื่อออก	להזיע
ให้	לתת / בשביל
ใหม่	חדש
อย่ารอ	אל תחכה
อร่อย	טעים
อ้วน	שמן (גוף)
อาการ	תסמין, מצב רפואי
อากาศ	מזג אוויר
อาจ	אולי / עשוי
อ่าน	לקרוא
อารมณ์	מצב רוח / רגש
อิจฉา	לקנא

## רמה 4
การเมือง	פוליטיקה
ขนมปัง	לחם
ข้อมูล	מידע, נתונים
ข้าม	לדלג / לחצות
ข้าวเหนียวมะม่วง	סטיקי רייס מנגו
เข้าใจ	להבין
เข้าใจแล้ว	הבנתי כבר
แข็งแรง	חזק, בריא
ความคิดเห็น	דעה
ความจริง	אמת
ความรู้สึก	הרגשה, תחושה
ความหมาย	משמעות
ความอดทน	סבלנות
เครียด	לחוץ, במתח
เงินเดือน	משכורת
จักรยาน	אופניים
จำเป็น	הכרחי / נחוץ
ฉันชื่อ…	השם שלי הוא...
ดังนั้น	לפיכך, אם כך
เดิน	ללכת / לצעוד
ตอนกลางคืน	לילה
ตอนเช้า	בבוקר
ตอนดึก	מאוחר בלילה
ตอนเที่ยง	בצהריים
ตอนเที่ยงคืน	בחצות / בלילה
ตอนบ่าย	אחר הצהריים
ตอนเย็น	בערב
ตอนสาย	מאוחר בבוקר
ตัดสินใจ	להחליט
ตัวอย่าง	דוגמה
ต่างประเทศ	חוץ לארץ
แตกต่าง	שונה, להיבדל
แต่เช้า	לפנות בוקר / מוקדם בבוקר
เที่ยวบิน	טיסה
นั่ง	לשבת
น่าเข้าใจ	מובן
นานๆ ที	פעם ב... / לעיתים רחוקות
นามสกุล	שם משפחה
น่าสงสาร	מסכן
ในหลวง	המלך
บ่อยๆ	לעיתים קרובות
บางครั้ง	לפעמים
ปกติ	בדרך כלל / רגיל
ประชุม	ישיבה, להתכנס
ประสบการณ์	ניסיון
ปลอดภัย	בטוח
ปัจจุบัน	הווה / כיום
ปั๊มน้ำมัน	תחנת דלק
เปรียบเทียบ	להשוות
เปลี่ยนแปลง	לשנות / להשתנות
เป้าหมาย	מטרה, יעד
ไปก่อนนะ	אני הולך עכשיו (להתראות)
ผม/ฉันรักคุณ	אני אוהב/ת אותך
ผมชื่อ…	השם שלי הוא...
ผมอยู่…	אני גר ב...
ผลไม้	פירות
ผิดหวัง	מאוכזב
แผนที่	מפה
พยายาม	להשתדל, לנסות
พระเจ้าอยู่หัว	המלך (תואר רשמי)
พรุ่งนี้	מחר
พัฒนา	לפתח
พูดเล่น	סתם צוחק / אומר בצחוק
เพราะฉะนั้น	לכן, משום כך
ภาษาไทย	השפה התאילנדית
มอเตอร์ไซค์	אופנוע
เมื่อวาน	אתמול
ไม่ค่อย	לא כל כך / לא לעיתים קרובות
ไม่เคย	אף פעם לא
ไม่สบาย	לא מרגיש טוב
ไม่เห็นด้วย	לא מסכים
ยกเลิก	לבטל
ยังไม่รู้	עדיין לא יודע
ยืน	לעמוד
รับผิดชอบ	אחראי / לקחת אחריות
ร้านอาหาร	מסעדה
ล้อเล่น	מתבדח / עובד עליך
แล้วแต่คุณ	תלוי בך
วัฒนธรรม	תרבות
วันนี้	היום
วิ่ง	לרוץ
สบายดี	הכל טוב / בסדר
สมองไม่ทำงาน	המוח לא עובד
สมาชิก	חבר (במועדון / קבוצה)
สังคม	חברה
สับปะรด	אננס
สำคัญ	חשוב
สิ่งแวดล้อม	סביבה
สุขภาพ	בריאות
เส้นทาง	מסלול, נתיב
เสมอๆ	תמיד
หยอก	להקניט בצחוק / שובבות
เหตุผล	סיבה / היגיון
เห็นด้วย	להסכים / מסכים
เห็นด้วยไหม	האם אתה מסכים?
เห็นไหม	רואה? / אתה רואה?
ไหน/ที่ไหน	איפה
อดีต	עבר
อธิบาย	להסביר
อนาคต	עתיד
ออกกำลังกาย	להתעמל
อันตราย	מסוכן
อาหารทะเล	פירות ים
เอาอันนี้	רוצה את זה
โอกาส	הזדמנות

## רמה 5
กินข้าว	לאכול / לאכול אורז
กินอะไร	מה אתה אוכל?
กี่โมง	איזו שעה?
แก้ไข	לתקן
ขอโทษ	סליחה
ขอบคุณ	תודה
เข้าใจไหม	מבין?
คิดว่า	לחשוב ש...
คุณคิดอะไร	על מה אתה חושב?
คุณชื่ออะไร	מה השם שלך?
คุณพูดภาษาอะไร	איזו שפה אתה מדבר?
คุณมาจาก…	מאיפה אתה?
คุณรักผม/ฉันไหม	אתה אוהב אותי?
คุณล่ะ	ואתה/ואת?
เจอกัน	נתראה
ชัดเจน	ברור
ใช่ไหม	נכון?
ดีใจที่ได้เจอ	נחמד לראותך
ดื่มน้ำ	לשתות מים
ได้ยินว่า	לשמוע ש...
ตอนผมเด็ก ๆ	כשהייתי ילד
ทำไม	למה?
ที่ไหน	איפה?
บอกว่า	לספר / להגיד ש...
ปฏิเสธ	לסרב, להכחיש
ไปไหน	לאן הולכים?
ผมเข้าใจ	אני מבין
ผ่าตัด	ניתוח, לנתח
พอไหม	זה מספיק?
พูดช้าๆ	דבר/י לאט
พูดไทยได้ไหม	אתה יכול לדבר תאילנדית?
พูดว่า	לומר ש...
พูดอีกที	תגיד/י שוב פעם
เพราะว่า	בגלל ש... / כי
เมื่อไร	מתי?
ไม่เก็ทอะ	אני לא מבין / לא קולט
ไม่เข้าใจ	לא מבין
ไม่ต้อง	לא צריך / אין צורך
